Area,Confirmed,Deaths,Recovered,Active,Population,infection_rate,death_rate,recovery_rate,Severity
Malta,701,9,665,27,441663.0,0.15871829879342395,1.2838801711840229,94.8644793152639,Low
San Marino,699,42,657,0,33938.0,2.0596381637102956,6.008583690987124,93.99141630901288,Low
Syria,674,40,0,634,17539600.0,0.0038427330155761815,5.934718100890208,0.0,Low
Tanzania,509,21,183,305,59886383.0,0.0008499427991835807,4.12573673870334,35.952848722986246,Low
Lesotho,505,12,128,365,2143943.0,0.02355473069946356,2.376237623762376,25.346534653465348,Low
Taiwan,462,7,440,15,23821199.0,0.0019394489756791838,1.5151515151515151,95.23809523809523,Low
Vietnam,431,0,365,66,97425470.0,0.0004423894490834892,0.0,84.68677494199535,Low
Guyana,389,20,181,188,786936.0,0.04943222828794209,5.141388174807198,46.52956298200514,Low
Bahamas,382,11,91,280,393616.0,0.09704890045120117,2.8795811518324608,23.82198952879581,Low
Burundi,378,1,301,76,11922216.0,0.003170551514919709,0.26455026455026454,79.62962962962963,Low
Comoros,354,7,328,19,871326.0,0.04062773290364342,1.977401129943503,92.65536723163842,Low
Myanmar,350,6,292,52,54446389.0,0.0006428341831815513,1.7142857142857144,83.42857142857143,Low
Mauritius,344,10,332,2,1271985.0,0.02704434407638455,2.9069767441860463,96.51162790697676,Low
Gambia,326,8,66,252,2422754.0,0.01345576150116768,2.4539877300613497,20.245398773006134,Low
Mongolia,289,0,222,67,3283344.0,0.008802001861516794,0.0,76.8166089965398,Low
Eritrea,265,0,191,74,3551175.0,0.007462318809971348,0.0,72.0754716981132,Low
Cambodia,226,0,147,79,16741375.0,0.001349948854260776,0.0,65.04424778761062,Low
Trinidad and Tobago,148,8,128,12,1399950.0,0.010571806135933426,5.405405405405405,86.48648648648648,Low
Brunei,141,3,138,0,,,2.127659574468085,97.87234042553192,Low
Monaco,116,4,104,8,39270.0,0.29539088362617777,3.4482758620689653,89.65517241379311,Low
Seychelles,114,0,39,75,98408.0,0.1158442403056662,0.0,34.21052631578947,Low
Barbados,110,7,94,9,287411.0,0.03827271746732032,6.363636363636363,85.45454545454545,Low
Bhutan,99,0,86,13,772443.0,0.012816479662577046,0.0,86.86868686868688,Low
Antigua and Barbuda,86,3,65,18,98010.0,0.08774614835220897,3.488372093023256,75.5813953488372,Low
Liechtenstein,86,1,81,4,38139.0,0.22549096725137,1.1627906976744187,94.18604651162791,Low
Papua New Guinea,62,0,11,51,8963009.0,0.0006917319842030729,0.0,17.741935483870968,Low
