Date,New cases,New deaths,case_growth_pct,death_growth_pct
2020-06-13,136010,4238,105.35733651447782,98.62694903420991
2020-06-14,133421,3374,98.09646349533122,79.61302501179802
2020-06-15,119638,3425,89.66954227595356,101.51155898043865
2020-06-16,141403,6867,118.19238034738126,200.4963503649635
2020-06-17,141853,5255,100.31823935842945,76.52541138779671
2020-06-18,139928,5029,98.64296137550845,95.69933396764986
2020-06-19,180954,6273,129.3193642444686,124.73652813680651
2020-06-20,157552,4249,87.06743150192867,67.73473617089113
2020-06-21,128539,3963,81.58512744998477,93.26900447164039
2020-06-22,137858,3571,107.249939707015,90.10850365884431
2020-06-23,165338,5311,119.93355481727575,148.7258471016522
2020-06-24,171183,5261,103.53518247468823,99.05855771041236
2020-06-25,177887,6627,103.9162767330868,125.96464550465691
2020-06-26,191346,4827,107.56603911471889,72.83838841104571
2020-06-27,178110,4486,93.08268790567872,92.93557074787653
2020-06-28,162349,3089,91.15097411711864,68.8586714222024
2020-06-29,158572,3721,97.67353048063123,120.45969569439947
2020-06-30,173898,5132,109.66501021617941,137.91991400161248
2020-07-01,217689,5011,125.18200324328055,97.64224473889321
2020-07-02,207705,5120,95.4136405606163,102.17521452803831
2020-07-03,203495,4995,97.97308682987892,97.55859375
2020-07-04,193567,4369,95.12125605051722,87.46746746746746
2020-07-05,182695,3445,94.38334013545698,78.85099565117876
2020-07-06,167343,3797,91.59692383480665,110.2177068214804
2020-07-07,210844,6107,125.99511183616883,160.83750329207268
2020-07-08,211802,5319,100.45436436417445,87.09677419354838
2020-07-09,228227,5458,107.75488427871313,102.61327317164881
2020-07-10,232577,5311,101.90599709937914,97.30670575302308
2020-07-11,216328,4897,93.0134966054253,92.20485784221427
2020-07-12,192668,3954,89.06290447838468,80.74331223197876
2020-07-13,192779,3815,100.05761205804804,96.48457258472433
2020-07-14,221452,5660,114.87350800657748,148.36173001310615
2020-07-15,231122,5493,104.36663475606451,97.04946996466431
2020-07-16,252544,5799,109.26869791711738,105.57072637902785
2020-07-17,242038,6743,95.83993284338571,116.27866873598896
2020-07-18,237635,5627,98.18086416182584,83.44950318849178
2020-07-19,214647,4029,90.32634081679886,71.6012084592145
2020-07-20,206778,4160,96.33398090818879,103.25142715313973
2020-07-21,233565,6238,112.95447291297913,149.95192307692307
2020-07-22,280647,6983,120.15798599961467,111.94293042641871
2020-07-23,282756,9966,100.75147783514522,142.7180295002148
2020-07-24,281164,6144,99.4369703914329,61.64960866947622
2020-07-25,255545,4867,90.88823604728913,79.21549479166666
2020-07-26,204606,4104,80.06652448688098,84.32299157591946
2020-07-27,228693,5415,111.77238204158235,131.94444444444443
